Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2019-02-01 00:00:00,54555,"Phillips, WI",*,159950.000000,0.0000,,53.0,-0.0619,,230.25,0.0154,,2.0,,-0.6667,0.0,,,0.0,-1.0000,,0.0,,,156959.0000,-0.0008,-0.0057,53.0,-0.0619,-0.4804,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54557,"Presque Isle, WI",,324550.000000,-0.0012,0.0853,51.5,0.1196,-0.1825,210.00,0.0633,0.0619,6.0,0.5000,-0.2500,0.0,,,4.0,-0.3333,,0.0,,,413452.0000,0.0007,0.0325,51.5,0.1196,-0.1825,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54558,"Saint Germain, WI",,283500.000000,0.0861,0.1230,37.0,0.0278,-0.2525,166.50,0.0137,-0.0030,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,373701.0000,0.0359,0.1493,37.0,0.0278,-0.2525,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54562,"Three Lakes, WI",,245050.000000,-0.0148,0.0889,52.5,-0.0094,-0.1026,195.50,0.1061,0.1795,2.0,-0.5000,-0.5000,0.0,,,6.0,,2.0000,0.0,,,379347.0000,0.0234,0.0681,52.5,-0.0094,-0.1026,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54566,"Wabeno, WI",*,108175.000000,-0.0699,,13.0,-0.1333,,214.50,0.1689,,0.0,,,0.0,,,0.0,,,0.0,,,151994.0000,0.0472,0.0231,13.0,-0.1333,-0.4583,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54568,"Woodruff, WI",,230050.000000,0.0222,0.1376,55.5,0.0183,0.0278,105.00,0.1475,-0.3478,4.0,0.0000,-0.6000,0.0,,,2.0,0.0000,-0.5000,0.0,,,282847.0000,0.0089,0.1487,55.5,0.0183,0.0278,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54601,"La Crosse, WI",*,218450.000000,0.0000,,77.5,0.0544,,50.25,-0.2972,,26.0,-0.1875,0.0833,0.0,,,6.0,-0.5000,-0.2500,0.0,-1.0000,-1.0000,263847.0000,-0.0017,-0.0087,77.5,0.0403,0.0197,0.0000,-0.0136,-0.0066
2019-02-01 00:00:00,54603,"La Crosse, WI",*,108700.000000,-0.0942,-0.1234,14.5,-0.0938,-0.4200,41.25,-0.3774,,8.0,0.3333,3.0000,0.0,,,2.0,0.0000,,0.0,,,161899.0000,-0.0729,0.2449,14.5,-0.0938,-0.4200,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54613,"Arkdale, WI",*,212275.000000,-0.0265,,34.0,-0.0286,,168.50,0.0648,,4.0,0.0000,0.0000,0.0,,,4.0,0.0000,1.0000,0.0,,,239988.0000,0.0413,0.0651,34.0,-0.0286,0.2830,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54615,"Black River Falls, WI",*,145175.000000,0.0009,-0.0752,48.0,0.0787,,127.50,0.1209,-0.0058,6.0,-0.4000,-0.2500,0.0,,,6.0,0.5000,-0.2500,0.0,,-1.0000,179989.0000,0.0365,0.0173,48.0,0.0787,-0.1579,0.0000,0.0000,-0.0270
